time,lasttime,lat,lng,speed,course,altitude,comment
2022-08-22 14:54:13,2022-08-22 14:54:13,34.64150,-106.83483,4,180,1566.06," StrTrk 5 9 1.63V 29C 83862Pa "
2022-08-22 14:55:13,2022-08-22 14:55:13,34.64117,-106.83517,0,200,1716.94," StrTrk 6 9 1.63V 28C 83202Pa "
2022-08-22 14:57:13,2022-08-22 14:57:13,34.64083,-106.83433,6,112,1937.92," StrTrk 8 9 1.62V 26C 81293Pa "
2022-08-22 15:00:13,2022-08-22 15:00:13,34.64117,-106.83400,2,281,2257.96," StrTrk 11 9 1.62V 24C 78284Pa "
2022-08-22 15:02:13,2022-08-22 15:02:13,34.64083,-106.83517,4,136,2440.84," StrTrk 13 9 1.61V 22C 76620Pa "
2022-08-22 15:03:13,2022-08-22 15:03:13,34.64067,-106.83450,6,86,2521.00," StrTrk 14 9 1.62V 22C 75883Pa "
2022-08-22 15:04:13,2022-08-22 15:04:13,34.64050,-106.83350,7,93,2602.08," StrTrk 15 9 1.61V 22C 75119Pa "
2022-08-22 15:05:13,2022-08-22 15:05:13,34.64033,-106.83267,2,56,2696.87," StrTrk 16 9 1.61V 22C 74301Pa "
2022-08-22 15:06:13,2022-08-22 15:06:13,34.64033,-106.83250,2,7,2799.89," StrTrk 17 9 1.61V 21C 73378Pa "
2022-08-22 15:07:13,2022-08-22 15:07:13,34.64000,-106.83233,6,153,2919.07," StrTrk 18 9 1.62V 21C 72354Pa "
2022-08-22 15:08:13,2022-08-22 15:08:13,34.63950,-106.83117,11,108,3044.95," StrTrk 19 9 1.61V 21C 71240Pa "
2022-08-22 15:09:13,2022-08-22 15:09:13,34.63900,-106.82850,19,104,3172.05," StrTrk 20 9 1.61V 20C 70168Pa "
2022-08-22 15:10:13,2022-08-22 15:10:13,34.63783,-106.82517,19,122,3293.06," StrTrk 21 9 1.61V 20C 69174Pa "
2022-08-22 15:11:13,2022-08-22 15:11:13,34.63583,-106.82233,26,140,3403.09," StrTrk 22 9 1.61V 19C 68273Pa "
2022-08-22 15:12:13,2022-08-22 15:12:13,34.63317,-106.82000,20,141,3514.04," StrTrk 23 9 1.61V 19C 67381Pa "
2022-08-22 15:14:13,2022-08-22 15:14:13,34.62950,-106.81800,7,169,3727.09," StrTrk 25 9 1.60V 18C 65664Pa "
2022-08-22 15:15:13,2022-08-22 15:15:13,34.62783,-106.81767,13,174,3823.11," StrTrk 26 9 1.60V 17C 64925Pa "
2022-08-22 15:16:13,2022-08-22 15:16:13,34.62567,-106.81733,15,182,3909.06," StrTrk 27 9 1.60V 17C 64171Pa "
2022-08-22 15:17:13,2022-08-22 15:17:13,34.62350,-106.81717,19,176,4009.95," StrTrk 28 9 1.60V 16C 63445Pa "
2022-08-22 15:18:13,2022-08-22 15:18:13,34.62117,-106.81700,9,176,4098.04," StrTrk 29 9 1.60V 15C 62754Pa "
2022-08-22 15:19:13,2022-08-22 15:19:13,34.61883,-106.81667,17,174,4193.13," StrTrk 30 9 1.59V 15C 62026Pa "
2022-08-22 15:20:13,2022-08-22 15:20:13,34.61633,-106.81583,17,161,4294.94," StrTrk 31 9 1.58V 15C 61244Pa "
2022-08-22 15:21:13,2022-08-22 15:21:13,34.61433,-106.81567,11,164,4410.15," StrTrk 32 9 1.58V 14C 60394Pa "
2022-08-22 15:22:13,2022-08-22 15:22:13,34.61267,-106.81517,7,178,4522.93," StrTrk 33 9 1.58V 13C 59522Pa "
2022-08-22 15:23:13,2022-08-22 15:23:13,34.61067,-106.81450,11,167,4643.93," StrTrk 34 9 1.57V 13C 58663Pa "
2022-08-22 15:24:13,2022-08-22 15:24:13,34.60917,-106.81350,13,124,4759.15," StrTrk 35 9 1.57V 12C 57809Pa "
2022-08-22 15:25:14,2022-08-22 15:25:14,34.60817,-106.81167,4,112,4872.23," StrTrk 36 9 1.58V 11C 57024Pa "
2022-08-22 15:26:13,2022-08-22 15:26:13,34.60783,-106.81017,6,140,4973.12," StrTrk 37 9 1.58V 10C 56311Pa "
2022-08-22 15:27:13,2022-08-22 15:27:13,34.60750,-106.80900,9,111,5072.18," StrTrk 38 9 1.57V 10C 55619Pa "
2022-08-22 15:28:13,2022-08-22 15:28:13,34.60667,-106.80717,13,115,5173.07," StrTrk 39 9 1.57V 09C 54914Pa "
2022-08-22 15:29:13,2022-08-22 15:29:13,34.60500,-106.80500,15,130,5278.22," StrTrk 40 9 1.57V 8C 54169Pa "
2022-08-22 15:30:13,2022-08-22 15:30:13,34.60367,-106.80267,13,122,5401.97," StrTrk 41 9 1.57V 8C 53371Pa "
2022-08-22 15:31:13,2022-08-22 15:31:13,34.60250,-106.79933,20,118,5514.14," StrTrk 42 9 1.56V 09C 52574Pa "
